sec_code,edinet_code
13760,E00004
13770,E00006
13750,E00007
13790,E00008
13810,E00009
13820,E00010
19110,E00011
13010,E00012
13320,E00014
13330,E00015
57110,E00021
57130,E00023
57060,E00024
57290,E00026
14910,E00027
57140,E00028
33150,E00030
57150,E00032
88350,E00034
70210,E00035
15150,E00036
15180,E00037
16620,E00041
16050,E00043
19250,E00048
18010,E00052
18030,E00053
18020,E00055
18610,E00056
18120,E00058
18870,E00059
18200,E00060
18100,E00064
18150,E00065
18820,E00066
18110,E00069
19410,E00073
19420,E00074
19440,E00075
19460,E00076
18920,E00079
18850,E00080
18880,E00081
18330,E00083
18930,E00086
18080,E00090
19450,E00092
18140,E00093
19510,E00094
18220,E00095
18130,E00097
19260,E00098
18270,E00105
19610,E00107
19720,E00109
18350,E00112
19680,E00113
19500,E00115
18470,E00117
18500,E00118
19640,E00119
18520,E00120
18260,E00121
18530,E00130
18970,E00133
19340,E00137
19670,E00138
19290,E00142
19280,E00143
19590,E00146
18600,E00147
18700,E00148
19690,E00149
19750,E00153
81570,E00157
19760,E00161
88360,E00165
18070,E00167
19820,E00168
19600,E00173
18660,E00175
18980,E00176
18670,E00179
19390,E00181
19920,E00182
19790,E00183
19380,E00185
97670,E00187
19810,E00189
19800,E00194
18990,E00196
18730,E00197
18690,E00201
19140,E00204
19300,E00207
97430,E00208
19660,E00209
18780,E00218
18790,E00221
19940,E00222
19650,E00225
19520,E00227
19050,E00232
19040,E00233
18480,E00238
18440,E00239
18400,E00240
18280,E00242
19970,E00246
19990,E00248
17990,E00250
17980,E00251
17950,E00254
17930,E00255
17880,E00259
17870,E00260
17830,E00263
17800,E00268
17770,E00271
17760,E00272
17710,E00276
17700,E00277
17680,E00279
17660,E00281
17640,E00282
17620,E00285
17580,E00287
17360,E00304
89040,E00311
17260,E00312
17230,E00313
17180,E00315
17200,E00316
17190,E00317
17160,E00320
17210,E00322
14010,E00323
14070,E00327
14140,E00329
22640,E00331
22820,E00334
22810,E00335
22660,E00337
22910,E00341
22920,E00342
22930,E00343
13800,E00344
20010,E00345
20020,E00346
20030,E00347
20040,E00348
20090,E00351
21080,E00355
21090,E00356
21140,E00360
21120,E00361
22010,E00369
22090,E00371
22040,E00372
22060,E00373
22110,E00374
22120,E00375
22070,E00376
22150,E00377
22160,E00378
22080,E00380
22170,E00381
22180,E00382
22200,E00385
22210,E00386
22220,E00387
22240,E00388
22260,E00389
33460,E00390
25010,E00393
25020,E00394
25030,E00395
25310,E00396
25330,E00397
25400,E00400
22670,E00406
25730,E00408
409A0,E00410
25930,E00414
25790,E00417
25510,E00422
25900,E00424
26020,E00428
26070,E00431
26120,E00433
26130,E00434
28010,E00435
28020,E00436
20530,E00439
28920,E00442
22860,E00443
28110,E00444
28710,E00446
28720,E00447
42290,E00448
28050,E00452
28940,E00453
20550,E00454
80060,E00456
28970,E00457
22880,E00458
28750,E00461
28100,E00462
28090,E00464
28060,E00465
28040,E00466
250A0,E00467
29010,E00471
29020,E00472
29030,E00473
22680,E00474
29040,E00476
28130,E00478
29070,E00480
29080,E00481
29100,E00482
28140,E00484
28150,E00486
29110,E00487
28760,E00488
25940,E00491
29140,E00492
29150,E00493
29160,E00494
29170,E00495
29180,E00496
29190,E00497
28770,E00498
28160,E00501
20580,E00502
25970,E00505
29220,E00506
28310,E00508
29230,E00510
29240,E00511
28180,E00513
28190,E00514
29260,E00515
29280,E00518
30020,E00520
30100,E00521
30030,E00523
30010,E00524
31010,E00525
31030,E00527
31060,E00528
31070,E00529
31090,E00530
31110,E00531
31230,E00534
31160,E00540
31130,E00541
31100,E00542
31040,E00543
31050,E00544
31210,E00545
32020,E00547
32050,E00550
32010,E00552
32040,E00556
33060,E00558
33020,E00559
35690,E00562
35770,E00563
34090,E00566
35290,E00567
35710,E00569
80910,E00570
80130,E00571
35130,E00572
35120,E00573
35010,E00574
35210,E00576
35240,E00578
35830,E00584
30110,E00585
35910,E00590
35800,E00591
80110,E00593
81270,E00600
81110,E00603
80290,E00604
81430,E00605
35970,E00607
99800,E00609
36000,E00610
36070,E00617
78980,E00630
78220,E00631
78970,E00632
78960,E00633
78870,E00635
78790,E00636
78270,E00639
78200,E00640
38610,E00642
38640,E00644
38650,E00645
38770,E00649
38780,E00650
79190,E00652
39410,E00659
38800,E00660
39440,E00664
79750,E00667
39470,E00668
39460,E00669
79840,E00670
39500,E00674
39450,E00675
39430,E00677
81130,E00678
79870,E00679
39530,E00682
38910,E00685
39540,E00686
38920,E00687
39550,E00688
38950,E00690
37080,E00691
79110,E00692
79120,E00693
79140,E00695
79160,E00696
79150,E00703
79180,E00705
94700,E00707
39480,E00708
94710,E00709
79210,E00710
79460,E00711
79220,E00712
39510,E00714
79010,E00715
78930,E00716
94740,E00717
78830,E00719
78750,E00720
94750,E00721
78700,E00722
94760,E00723
78680,E00724
78640,E00725
94780,E00728
78570,E00730
78630,E00734
78500,E00735
78490,E00736
23760,E00744
23880,E00745
78310,E00748
40040,E00751
40050,E00752
40080,E00755
40210,E00759
40220,E00760
40230,E00761
40250,E00762
40260,E00763
40270,E00764
40280,E00765
40410,E00766
40420,E00767
40430,E00768
40440,E00769
40450,E00770
40460,E00771
40470,E00772
40610,E00774
40620,E00775
40630,E00776
40640,E00777
40780,E00780
40970,E00781
40910,E00783
40920,E00784
40940,E00786
40930,E00787
40310,E00789
41020,E00791
40880,E00792
61370,E00794
40980,E00796
44620,E00804
41090,E00805
40820,E00806
41880,E00808
41120,E00809
41130,E00810
41140,E00811
41820,E00815
41510,E00816
42020,E00818
42030,E00819
42040,E00820
42050,E00821
42060,E00824
49960,E00828
78710,E00829
42160,E00830
46200,E00832
42210,E00834
42720,E00836
43670,E00837
42200,E00838
42220,E00839
41830,E00840
40990,E00841
41000,E00842
42280,E00845
58160,E00846
45310,E00848
42740,E00850
43620,E00852
41860,E00854
41870,E00855
79420,E00858
79250,E00861
78940,E00863
78880,E00866
78860,E00867
49600,E00868
42420,E00871
34010,E00872
