ticker,name,sector,market_cap_class
130A.T,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,医薬品,-
135A.T,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,情報・通信業,-
137A.T,Ｃｏｃｏｌｉｖｅ,情報・通信業,-
138A.T,光フードサービス,小売業,-
1401.T,エムビーエス,建設業,-
141A.T,トライアルホールディングス,小売業,-
142A.T,ジンジブ,サービス業,-
1431.T,Ｌｉｂ　Ｗｏｒｋ,建設業,-
1436.T,グリーンエナジー＆カンパニー,建設業,-
143A.T,イシン,サービス業,-
1444.T,ニッソウ,建設業,-
1447.T,ＳＡＡＦホールディングス,建設業,-
145A.T,Ｌ　ｉｓ　Ｂ,情報・通信業,-
147A.T,ソラコム,情報・通信業,-
148A.T,ハッチ・ワーク,情報・通信業,-
149A.T,シンカ,情報・通信業,-
150A.T,ＪＳＨ,サービス業,-
151A.T,ダイブ,サービス業,-
153A.T,カウリス,情報・通信業,-
155A.T,情報戦略テクノロジー,情報・通信業,-
156A.T,マテリアルグループ,サービス業,-
157A.T,グリーンモンスター,サービス業,-
166A.T,タスキホールディングス,不動産業,-
168A.T,イタミアート,その他製品,-
173A.T,ハンモック,情報・通信業,-
175A.T,Ｗｉｌｌ　Ｓｍａｒｔ,情報・通信業,-
177A.T,コージンバイオ,化学,-
184A.T,学びエイド,情報・通信業,-
186A.T,アストロスケールホールディングス,サービス業,-
189A.T,Ｄ＆Ｍカンパニー,サービス業,-
190A.T,Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅｕｔｉｃｓ,医薬品,-
192A.T,インテグループ,サービス業,-
194A.T,ＷＯＬＶＥＳ　ＨＡＮＤ,サービス業,-
195A.T,ＭＵＳＣＡＴ　ＧＲＯＵＰ,サービス業,-
196A.T,ＭＦＳ,その他金融業,-
198A.T,ＰｏｓｔＰｒｉｍｅ,情報・通信業,-
205A.T,ロゴスホールディングス,建設業,-
206A.T,ＰＲＩＳＭ　ＢｉｏＬａｂ,医薬品,-
2158.T,ＦＲＯＮＴＥＯ,サービス業,-
215A.T,タイミー,サービス業,-
2160.T,ジーエヌアイグループ,医薬品,-
2173.T,博展,サービス業,-
218A.T,Ｌｉｂｅｒａｗａｒｅ,精密機器,-
2195.T,アミタホールディングス,サービス業,-
219A.T,Ｈｅａｒｔｓｅｅｄ,医薬品,-
228A.T,オプロ,情報・通信業,-
2321.T,ソフトフロントホールディングス,情報・通信業,-
2334.T,イオレ,サービス業,-
2370.T,メディネット,サービス業,-
2385.T,総医研ホールディングス,サービス業,-
2388.T,ウェッジホールディングス,その他金融業,-
241A.T,ＲＯＸＸ,情報・通信業,-
2438.T,アスカネット,サービス業,-
244A.T,グロースエクスパートナーズ,情報・通信業,-
245A.T,ＩＮＧＳ,小売業,-
246A.T,アスア,サービス業,-
247A.T,Ａｉロボティクス,化学,-
248A.T,キッズスター,情報・通信業,-
2497.T,ユナイテッド,サービス業,-
2586.T,フルッタフルッタ,食料品,-
264A.T,Ｓｃｈｏｏ,サービス業,-
265A.T,Ｈｍｃｏｍｍ,情報・通信業,-
269A.T,Ｓａｐｅｅｔ,情報・通信業,-
276A.T,ククレブ・アドバイザーズ,不動産業,-
278A.T,Ｔｅｒｒａ　Ｄｒｏｎｅ,精密機器,-
280A.T,ＴＭＨ,卸売業,-
281A.T,インフォメティス,情報・通信業,-
286A.T,ユカリア,サービス業,-
288A.T,ラクサス・テクノロジーズ,サービス業,-
290A.T,Ｓｙｎｓｐｅｃｔｉｖｅ,情報・通信業,-
291A.T,リスキル,サービス業,-
2934.T,ジェイフロンティア,食料品,-
2936.T,ベースフード,食料品,-
2937.T,サンクゼール,食料品,-
296A.T,令和アカウンティング・ホールディングス,サービス業,-
2978.T,ツクルバ,不動産業,-
2981.T,ランディックス,不動産業,-
2983.T,アールプランナー,不動産業,-
2986.T,ＬＡホールディングス,不動産業,-
298A.T,ＧＶＡ　ＴＥＣＨ,情報・通信業,-
2997.T,ストレージ王,不動産業,-
2998.T,クリアル,不動産業,-
299A.T,クラシル,サービス業,-
302A.T,ビースタイルホールディングス,サービス業,-
303A.T,ｖｉｓｕｍｏ,情報・通信業,-
304A.T,フォルシア,情報・通信業,-
3063.T,ジェイグループホールディングス,小売業,-
3070.T,ジェリービーンズグループ,卸売業,-
3133.T,海帆,小売業,-
3140.T,ＢＲＵＮＯ,卸売業,-
3185.T,夢展望,小売業,-
3187.T,ミラタップ,小売業,-
3195.T,ジェネレーションパス,小売業,-
319A.T,技術承継機構,金属製品,-
3224.T,ゼネラル・オイスター,小売業,-
3237.T,イントランス,不動産業,-
323A.T,フライヤー,情報・通信業,-
324A.T,ブッキングリゾート,サービス業,-
325A.T,ＴＥＮＴＩＡＬ,繊維製品,-
3261.T,グランディーズ,不動産業,-
3300.T,アンビション　ＤＸ　ホールディングス,不動産業,-
330A.T,ＴａｌｅｎｔＸ,情報・通信業,-
332A.T,ミーク,情報・通信業,-
334A.T,ビジュアル・プロセッシング・ジャパン,情報・通信業,-
3359.T,ｃｏｔｔａ,卸売業,-
335A.T,ミライロ,情報・通信業,-
336A.T,ダイナミックマッププラットフォーム,情報・通信業,-
338A.T,ＺｅｎｍｕＴｅｃｈ,情報・通信業,-
339A.T,プログレス・テクノロジーズ　グループ,サービス業,-
340A.T,ジグザグ,情報・通信業,-
3418.T,バルニバービ,小売業,-
341A.T,トヨコー,建設業,-
3474.T,Ｇ－ＦＡＣＴＯＲＹ,不動産業,-
3477.T,フォーライフ,不動産業,-
3479.T,ティーケーピー,不動産業,-
3491.T,ＧＡ　ｔｅｃｈｎｏｌｏｇｉｅｓ,不動産業,-
350A.T,デジタルグリッド,電気・ガス業,-
352A.T,ＬＯＩＶＥ,サービス業,-
3542.T,ベガコーポレーション,小売業,-
3550.T,スタジオアタオ,小売業,-
3556.T,リネットジャパングループ,小売業,-
3557.T,ユナイテッド＆コレクティブ,小売業,-
3558.T,ジェイドグループ,小売業,-
3566.T,ユニフォームネクスト,小売業,-
3623.T,ビリングシステム,情報・通信業,-
3624.T,アクセルマーク,情報・通信業,-
3625.T,テックファームホールディングス,情報・通信業,-
3628.T,データホライゾン,情報・通信業,-
3645.T,メディカルネット,情報・通信業,-
3652.T,ディジタルメディアプロフェッショナル,情報・通信業,-
3653.T,モルフォ,情報・通信業,-
3664.T,ＷＩＺＥ,情報・通信業,-
366A.T,ウェルネス・コミュニケーションズ,サービス業,-
3674.T,オークファン,情報・通信業,-
3680.T,ホットリンク,情報・通信業,-
3691.T,デジタルプラス,情報・通信業,-
3692.T,ＦＦＲＩセキュリティ,情報・通信業,-
3695.T,ＧＭＯプロダクトプラットフォーム,情報・通信業,-
369A.T,エータイ,サービス業,-
3723.T,日本ファルコム,情報・通信業,-
3727.T,アプリックス,情報・通信業,-
373A.T,リップス,化学,-
3773.T,アドバンスト・メディア,情報・通信業,-
3777.T,環境フレンドリーホールディングス,情報・通信業,-
378A.T,ヒット,サービス業,-
3793.T,ドリコム,情報・通信業,-
3803.T,イメージ情報開発,情報・通信業,-
3807.T,フィスコ,情報・通信業,-
3815.T,メディア工房,情報・通信業,-
387A.T,フラー,情報・通信業,-
3900.T,クラウドワークス,情報・通信業,-
3904.T,カヤック,情報・通信業,-
3905.T,データセクション,情報・通信業,-
3911.T,Ａｉｍｉｎｇ,情報・通信業,-
3914.T,ＪＩＧ－ＳＡＷ,情報・通信業,-
3917.T,アイリッジ,情報・通信業,-
3929.T,ソーシャルワイヤー,情報・通信業,-
3930.T,はてな,情報・通信業,-
3931.T,バリューゴルフ,情報・通信業,-
3936.T,グローバルウェイ,情報・通信業,-
3967.T,エルテス,情報・通信業,-
3970.T,イノベーション,情報・通信業,-
3976.T,シャノン,情報・通信業,-
3979.T,うるる,情報・通信業,-
3987.T,エコモット,情報・通信業,-
3989.T,シェアリングテクノロジー,情報・通信業,-
3991.T,ウォンテッドリー,情報・通信業,-
3998.T,すららネット,情報・通信業,-
4011.T,ヘッドウォータース,情報・通信業,-
4013.T,勤次郎,情報・通信業,-
4014.T,カラダノート,情報・通信業,-
4015.T,ペイクラウドホールディングス,情報・通信業,-
4017.T,クリーマ,情報・通信業,-
4019.T,スタメン,情報・通信業,-
4020.T,ビートレンド,情報・通信業,-
402A.T,アクセルスペースホールディングス,輸送用機器,-
4052.T,フィーチャ,情報・通信業,-
4054.T,日本情報クリエイト,情報・通信業,-
4055.T,ティアンドエスグループ,情報・通信業,-
4056.T,ニューラルグループ,情報・通信業,-
4057.T,インターファクトリー,情報・通信業,-
4058.T,トヨクモ,情報・通信業,-
4060.T,ｒａｋｕｍｏ,情報・通信業,-
4068.T,ベイシス,情報・通信業,-
4069.T,ＢｌｕｅＭｅｍｅ,情報・通信業,-
4073.T,ジィ・シィ企画,情報・通信業,-
4074.T,ラキール,情報・通信業,-
4075.T,ブレインズテクノロジー,情報・通信業,-
4076.T,シイエヌエス,情報・通信業,-
410A.T,ＧＭＯコマース,サービス業,-
414A.T,オーバーラップホールディングス,情報・通信業,-
415A.T,ＧＭＯ　ＴＥＣＨホールディングス,サービス業,-
4165.T,プレイド,情報・通信業,-
4166.T,かっこ,情報・通信業,-
4167.T,ココペリ,情報・通信業,-
4168.T,ヤプリ,情報・通信業,-
4169.T,ＥＮＥＣＨＡＮＧＥ,情報・通信業,-
4170.T,Ｋａｉｚｅｎ　Ｐｌａｔｆｏｒｍ,情報・通信業,-
4175.T,ｃｏｌｙ,情報・通信業,-
4176.T,ココナラ,情報・通信業,-
4177.T,ｉ‐ｐｌｕｇ,情報・通信業,-
4178.T,Ｓｈａｒｉｎｇ　Ｉｎｎｏｖａｔｉｏｎｓ,情報・通信業,-
4179.T,ジーネクスト,情報・通信業,-
4192.T,スパイダープラス,情報・通信業,-
4199.T,ワンダープラネット,情報・通信業,-
421A.T,ムービン・ストラテジック・キャリア,サービス業,-
4255.T,ＴＨＥＣＯＯ,情報・通信業,-
4256.T,サインド,情報・通信業,-
4258.T,網屋,情報・通信業,-
4259.T,エクサウィザーズ,情報・通信業,-
4260.T,ハイブリッドテクノロジーズ,情報・通信業,-
4261.T,アジアクエスト,情報・通信業,-
4262.T,ニフティライフスタイル,情報・通信業,-
4263.T,サスメド,情報・通信業,-
4264.T,セキュア,情報・通信業,-
4265.T,Ｉｎｓｔｉｔｕｔｉｏｎ　ｆｏｒ　ａ　Ｇｌｏｂａｌ　Ｓｏｃｉｅｔｙ,情報・通信業,-
4270.T,ＢｅｅＸ,情報・通信業,-
4308.T,Ｊストリーム,情報・通信業,-
4316.T,ビーマップ,情報・通信業,-
431A.T,ユーソナー,情報・通信業,-
436A.T,サイバーソリューションズ,情報・通信業,-
4370.T,モビルス,情報・通信業,-
4371.T,コアコンセプト・テクノロジー,情報・通信業,-
4372.T,ユミルリンク,情報・通信業,-
4374.T,ＲＯＢＯＴ　ＰＡＹＭＥＮＴ,情報・通信業,-
4375.T,セーフィー,情報・通信業,-
4376.T,くふうカンパニーホールディングス,情報・通信業,-
4377.T,ワンキャリア,情報・通信業,-
4378.T,ＣＩＮＣ,情報・通信業,-
4379.T,Ｐｈｏｔｏｓｙｎｔｈ,情報・通信業,-
4380.T,Ｍマート,情報・通信業,-
4381.T,ビープラッツ,情報・通信業,-
4387.T,ＺＵＵ,情報・通信業,-
