ticker,name,sector,market_cap_class
1925.T,大和ハウス工業,建設業,TOPIX Large70
1928.T,積水ハウス,建設業,TOPIX Large70
2502.T,アサヒグループホールディングス,食料品,TOPIX Large70
2503.T,キリンホールディングス,食料品,TOPIX Large70
2802.T,味の素,食料品,TOPIX Large70
2914.T,日本たばこ産業,食料品,TOPIX Core30
3382.T,セブン＆アイ・ホールディングス,小売業,TOPIX Core30
3407.T,旭化成,化学,TOPIX Large70
4063.T,信越化学工業,化学,TOPIX Core30
4188.T,三菱ケミカルグループ,化学,TOPIX Large70
4307.T,野村総合研究所,情報・通信業,TOPIX Large70
4452.T,花王,化学,TOPIX Large70
4502.T,武田薬品工業,医薬品,TOPIX Core30
4503.T,アステラス製薬,医薬品,TOPIX Large70
4507.T,塩野義製薬,医薬品,TOPIX Large70
4519.T,中外製薬,医薬品,TOPIX Large70
4543.T,テルモ,精密機器,TOPIX Large70
4568.T,第一三共,医薬品,TOPIX Core30
4578.T,大塚ホールディングス,医薬品,TOPIX Large70
4661.T,オリエンタルランド,サービス業,TOPIX Large70
4689.T,ＬＩＮＥヤフー,情報・通信業,TOPIX Large70
4901.T,富士フイルムホールディングス,化学,TOPIX Large70
5020.T,ＥＮＥＯＳホールディングス,石油・石炭製品,TOPIX Large70
5108.T,ブリヂストン,ゴム製品,TOPIX Large70
5401.T,日本製鉄,鉄鋼,TOPIX Large70
5802.T,住友電気工業,非鉄金属,TOPIX Large70
5803.T,フジクラ,非鉄金属,TOPIX Large70
6098.T,リクルートホールディングス,サービス業,TOPIX Core30
6146.T,ディスコ,機械,TOPIX Large70
6178.T,日本郵政,サービス業,TOPIX Large70
6201.T,豊田自動織機,輸送用機器,TOPIX Large70
6273.T,ＳＭＣ,機械,TOPIX Large70
6301.T,小松製作所,機械,TOPIX Large70
6326.T,クボタ,機械,TOPIX Large70
6367.T,ダイキン工業,機械,TOPIX Core30
6501.T,日立製作所,電気機器,TOPIX Core30
6503.T,三菱電機,電気機器,TOPIX Core30
6701.T,日本電気,電気機器,TOPIX Large70
6702.T,富士通,電気機器,TOPIX Large70
6723.T,ルネサスエレクトロニクス,電気機器,TOPIX Large70
6752.T,パナソニック　ホールディングス,電気機器,TOPIX Large70
6758.T,ソニーグループ,電気機器,TOPIX Core30
6762.T,ＴＤＫ,電気機器,TOPIX Large70
6857.T,アドバンテスト,電気機器,TOPIX Core30
6861.T,キーエンス,電気機器,TOPIX Core30
