ticker,name,sector
1332.T,日本水産,食品
1605.T,INPEX,エネルギー
1721.T,コムシスホールディングス,建設
1801.T,大成建設,建設
1802.T,大林組,建設
1803.T,清水建設,建設
1925.T,大和ハウス工業,建設
1928.T,積水ハウス,建設
2002.T,日清製粉グループ本社,食品
2269.T,明治ホールディングス,食品
2282.T,日本ハム,食品
2413.T,エムスリー,ヘルスケア
2502.T,アサヒグループホールディングス,食品
2503.T,キリンホールディングス,食品
2578.T,コカ・コーラ ボトラーズジャパンホールディングス,食品
2768.T,双日,商社
2801.T,キッコーマン,食品
2802.T,味の素,食品
2914.T,日本たばこ産業,食品
3086.T,J.フロント リテイリング,小売
3092.T,ZOZO,小売
3289.T,東急不動産ホールディングス,不動産
3382.T,セブン＆アイ・ホールディングス,小売
3402.T,東レ,素材
3407.T,旭化成,素材
3436.T,SUMCO,半導体
3659.T,ネクソン,テクノロジー
3861.T,王子ホールディングス,素材
3863.T,日本製紙,素材
4004.T,レゾナック・ホールディングス,素材
4005.T,住友化学,素材
4021.T,日産化学,素材
4042.T,東ソー,素材
4063.T,信越化学工業,素材
4183.T,三井化学,素材
4188.T,三菱ケミカルグループ,素材
4208.T,UBE,素材
4452.T,花王,生活用品
4502.T,武田薬品工業,ヘルスケア
4503.T,アステラス製薬,ヘルスケア
4519.T,中外製薬,ヘルスケア
4523.T,エーザイ,ヘルスケア
4543.T,テルモ,ヘルスケア
4568.T,第一三共,ヘルスケア
4578.T,大塚ホールディングス,ヘルスケア
4661.T,オリエンタルランド,サービス
4689.T,LINEヤフー,テクノロジー
4704.T,トレンドマイクロ,テクノロジー
4751.T,サイバーエージェント,テクノロジー
4755.T,楽天グループ,テクノロジー
4901.T,富士フイルムホールディングス,テクノロジー
4902.T,コニカミノルタ,テクノロジー
5019.T,出光興産,エネルギー
5020.T,ENEOSホールディングス,エネルギー
5101.T,横浜ゴム,素材
5108.T,ブリヂストン,素材
5201.T,AGC,素材
5214.T,日本電気硝子,素材
5233.T,太平洋セメント,素材
5301.T,東海カーボン,素材
5332.T,TOTO,素材
5401.T,日本製鉄,素材
5406.T,神戸製鋼所,素材
5411.T,JFEホールディングス,素材
5541.T,大平洋金属,素材
5631.T,日本製鋼所,素材
5713.T,住友金属鉱山,素材
5714.T,DOWAホールディングス,素材
5801.T,古河電気工業,素材
5802.T,住友電気工業,素材
5803.T,フジクラ,素材
6098.T,リクルートホールディングス,サービス
6113.T,アマダ,機械
6178.T,日本郵政,金融
6273.T,SMC,機械
6301.T,小松製作所,機械
6302.T,住友重機械工業,機械
6305.T,日立建機,機械
6326.T,クボタ,機械
6361.T,荏原製作所,機械
6367.T,ダイキン工業,機械
6370.T,栗田工業,機械
6471.T,日本精工,機械
6473.T,ジェイテクト,機械
6501.T,日立製作所,テクノロジー
6503.T,三菱電機,テクノロジー
6504.T,富士電機,テクノロジー
6506.T,安川電機,テクノロジー
6508.T,明電舎,テクノロジー
6586.T,マキタ,機械
6594.T,日本電産,テクノロジー
6645.T,オムロン,テクノロジー
6674.T,GSユアサ,テクノロジー
6701.T,日本電気,テクノロジー
6702.T,富士通,テクノロジー
